Name,Profile URL,Keywords Found
Paige Bollen,https://polisci.osu.edu/people/bollen.1,"technology, machine learning, data"
Janet Box-Steffensmeier,https://polisci.osu.edu/people/box-steffensmeier.1,data
Vladimir Kogan,https://polisci.osu.edu/people/kogan.18,data
Marcus J. Kurtz,https://polisci.osu.edu/people/kurtz.61,software
Gregory Leslie,https://polisci.osu.edu/people/leslie.172,"machine learning, data"
Erin Lin,https://polisci.osu.edu/people/lin.2657,data
Michael A. Neblo,https://polisci.osu.edu/people/neblo.1,technology
Ju Yeon (Julia) Park,https://polisci.osu.edu/people/park.3509,"data science, machine learning, data"
