Name,Profile URL,Keywords Found
Elizabeth Bond,https://history.osu.edu/people/bond.282,technology
Nicholas B. Breyfogle,https://history.osu.edu/people/breyfogle.1,technology
Bruno Cabanes,https://history.osu.edu/people/cabanes.2,technology
Kent (Kip) Curtis,https://history.osu.edu/people/curtis.457,technology
Jennifer Eaglin,https://history.osu.edu/people/eaglin.5,technology
Bart Elmore,https://history.osu.edu/people/elmore.83,technology
Ryan Fontanilla,https://history.osu.edu/people/fontanilla.1,technology
James E. Genova,https://history.osu.edu/people/genova.2,networking
Matt Goldish,https://history.osu.edu/people/Goldish.1,technology
