Name,Profile URL,Keywords Found
Maya Cruz,https://comparativestudies.osu.edu/people/cruz.446,"technology, artificial intelligence, computer vision, data"
David Horn,https://comparativestudies.osu.edu/people/horn.5,technology
John N. Low,https://comparativestudies.osu.edu/people/low.89,programming
Ashley Hope Pérez,https://comparativestudies.osu.edu/people/pérez.390,programming
Maurice Stevens,https://comparativestudies.osu.edu/people/stevens.368,technology
Isaac Weiner,https://comparativestudies.osu.edu/people/weiner.141,technology
