Name,Profile URL,Keywords Found
Paul Bellair,https://sociology.osu.edu/people/bellair.1,data
Sam Clark,https://sociology.osu.edu/people/clark.2962,"software, data"
Douglas Downey,https://sociology.osu.edu/people/downey.32,technology
Laura Dugan,https://sociology.osu.edu/people/dugan.226,data
Reanne Frank,https://sociology.osu.edu/people/frank.219,data
Sarah Hayford,https://sociology.osu.edu/people/hayford.10,data
Dana Haynie,https://sociology.osu.edu/people/haynie.7,data
Anthony Johnson,https://sociology.osu.edu/people/johnson.4848,technology
Korie Little,https://sociology.osu.edu/people/little.794,technology
