
Bryan Carstens,https://eeob.osu.edu/people/carstens.12,"software, data"
Andreas Chavez,https://eeob.osu.edu/people/chavez.102,data
Meg Daly,https://eeob.osu.edu/people/daly.66,data
John Freudenstein,https://eeob.osu.edu/people/freudenstein.1,data
H. Lisle Gibbs,https://eeob.osu.edu/people/gibbs.128,"statistical modeling, data"
