Name,Profile URL,Keywords Found
Dr. Duane Wegener,https://psychology.osu.edu/people/wegener.1,technology
Dr. Barbara Andersen,https://psychology.osu.edu/people/andersen.1,technology
Dr. Gyeongcheol  Cho,https://psychology.osu.edu/people/cho.1240,"data science, machine learning, deep learning, data"
Dr. Mike DeKay,https://psychology.osu.edu/people/dekay.3,technology
Dr. Jasmeet Hayes,https://psychology.osu.edu/people/hayes.1075,"machine learning, data"
Dr. Richard  Jagacinski,https://psychology.osu.edu/people/jagacinski.1,"technology, artificial intelligence"
