Name,Profile URL,Keywords Found
Ann Cook,https://earthsciences.osu.edu/people/cook.1129,technology
Brendan Crowell,https://earthsciences.osu.edu/people/crowell.97,technology
Michael Durand,https://earthsciences.osu.edu/people/durand.8,data
Demián  Gómez,https://earthsciences.osu.edu/people/gomez.124,"computing, software, data"
Andréa G. Grottoli,https://earthsciences.osu.edu/people/grottoli.1,technology
Ian Howat,https://earthsciences.osu.edu/people/howat.4,data
Yanlan Liu,https://earthsciences.osu.edu/people/liu.9367,data
Steven K. Lower,https://earthsciences.osu.edu/people/lower.9,technology
